"Abbreviation","Species","Relative_frequency","p05_mat","p50_mat","p95_mat","iqr_mat","p05_mwmt","p50_mwmt","p95_mwmt","iqr_mwmt","p05_mcmt","p50_mcmt","p95_mcmt","iqr_mcmt","p05_td","p50_td","p95_td","iqr_td","p05_map","p50_map","p95_map","iqr_map","p05_msp","p50_msp","p95_msp","iqr_msp","p05_ahm","p50_ahm","p95_ahm","iqr_ahm","p05_shm","p50_shm","p95_shm","iqr_shm","p05_ffp","p50_ffp","p95_ffp","iqr_ffp","p05_pas","p50_pas","p95_pas","iqr_pas","p05_emt","p50_emt","p95_emt","iqr_emt","p05_ext","p50_ext","p95_ext","iqr_ext","p05_eref","p50_eref","p95_eref","iqr_eref","p05_cmd","p50_cmd","p95_cmd","iqr_cmd","p05_rh","p50_rh","p95_rh","iqr_rh","p05_rh_sm","p50_rh_sm","p95_rh_sm","iqr_rh_sm","p05_hi","p50_hi","p95_hi","iqr_hi"
"Htrroc","Hypotrachyna_taylorensis",0,6.8,11.65,15.5,3.62,16.55,20.85,23.11,3.86,-2.38,2.27,10.24,4.79,9.45,18.7,21.81,1.96,418.1,1443.5,1752.88,1176.38,127.1,603.75,732.55,379,11.52,15.25,57.97,29.27,25.96,37.05,497.32,33.15,115.85,170.5,323.3,32.38,0.45,22.5,81.35,48,-32.02,-25.27,-7.31,4.66,32.97,35.4,38.42,3.33,839.95,1012.25,1427.55,237.88,0.68,124.5,990.65,508.5,51.25,60,67.95,5,45.9,58.25,69.15,2.75,15.79,20.46,23.02,4.2
"Htrsho","Hypotrachyna_showmanii",0.01,6.99,10.3,19,5.69,19.05,21.84,27.57,4.51,-6.77,-2.13,9.63,8.14,17.9,24.38,26.6,5.57,1044.65,1181.92,1542.55,140.94,489.93,550,645,69.38,12.46,16.4,25.07,5.48,30.96,41.37,51.27,12.13,135,156.5,262,38.69,0.65,56,203.64,129.19,-33.21,-28.4,-16.1,7.48,34.43,37.64,40.8,3.59,718.48,892.67,1450.7,306.25,17.3,126.89,398.85,176.29,58.65,61,65.06,2.75,52,59,65.35,8.12,18.39,21.66,29.29,5.17
"Htrsin","Hypotrachyna_sinuosa",0.03,4.79,8.3,12.59,3.75,12.31,15.2,20.96,3.2,-2.49,2.66,7.97,4.54,7.58,13.6,17.27,3.29,1202.4,2365,3811.5,1099.5,154.55,553,1174.3,497.38,4.17,7.6,18.22,5.22,10.77,28.8,123.89,36.2,139.82,186,256.3,57.46,10.7,169,595.6,284.25,-27.35,-17.8,-11.08,7.26,28.61,33,39.75,5.21,391.34,660.5,1366,336.25,0,93,567.4,277.5,60,73,80.08,9.67,49.35,70,79.3,17.21,11.56,14.72,20.39,3.09
"Htrvir","Hypotrachyna_virginica",0,9.25,11.55,16.48,4.18,18.78,20.3,23.27,2.03,-1,0.5,10.75,5.58,9.3,20.6,21.87,5.25,971.15,1269.5,1380.85,156.5,557.05,620,694.85,49,13.97,17,27.76,6.18,28.26,31.8,41.89,6.98,158.3,170.5,288.95,53.25,2.65,29,57.9,40.25,-28.51,-26.35,-12.97,6.9,32.77,35.2,37.8,1.9,873.55,1018.5,1526.4,304.25,9.6,119,658.5,268.5,57.75,62,65.4,2.25,57.15,58.5,65.8,3.25,18.24,20.02,23.18,2.06
"Hypapi","Hypogymnia_apinnata",0.07,1.24,6.65,11.35,5.39,12.1,14.82,19.23,3.34,-9.63,-0.35,7.28,8.41,8.91,15.32,22.36,7.33,520.65,1738.12,3460.3,1319,133.67,344,1017.45,295,4.63,10.65,30.33,8.61,12.15,42.98,123.17,40.35,87.05,155.5,266.9,92,16,226.75,858.2,378.62,-40.29,-24.07,-10.2,16.21,27.97,33.18,39.3,5.97,336.75,608.5,922.6,323.96,0,143.17,456.18,273.88,58.17,69.83,80,8.65,36.67,67,80,19.27,11.1,14.16,18.44,3.26
"Hypaus","Hypogymnia_austerodes",0.01,-9.6,-0.6,5.98,6.58,9.27,13.5,16.93,3.05,-28.66,-12.08,-3.93,14.95,17.85,24.7,41.07,13.67,250.3,575,1222.35,403.29,156.3,289,534.92,141.08,1.4,15.1,30.77,11.9,20.06,46.45,93.88,27.77,43.3,78,121.25,29.5,74.2,214,637,226,-53.4,-44.3,-32.82,10.21,25.23,31.1,36.23,4.39,188.9,412,795.87,238.83,3.95,149,395.82,150,49.59,60,69,8,26,58,74.7,18.4,7.82,12.33,15.99,3.1
"Hypbit","Hypogymnia_bitteri",0.01,-9.22,-2.1,7.03,7.8,10.43,13.8,17.15,2.6,-27.45,-16.9,-1.7,14.75,16.73,30.55,41.08,14.11,245.25,556.25,1329.5,374,142.75,323.5,624.17,188.75,2.35,12.95,26.95,11.38,20.4,41.87,95.28,28.44,59.75,89.5,130.75,31.25,71.25,217.25,537.42,155.25,-53.81,-46.02,-30.42,9.8,26.17,29.95,34.68,4.25,210.5,364.5,879,171.38,0,89.75,326.89,117.62,53.67,63,72.25,7,38.21,64,77,10,9.05,12.88,16.52,2.95
"Hypcan","Hypogymnia_canadensis",0,1.86,8.15,10.62,6.4,11.6,14.6,21.05,4.25,-6,1,4.24,7,10.93,17.35,20.32,2.55,447.4,1143.5,2298.9,1045.5,133.8,299,456.2,188,8.45,13.65,47.9,7.65,32.34,55.1,171.04,21.7,107.6,153,215.6,26,26.4,184,550.6,253,-34.46,-23.8,-14.37,11.05,27.34,32.5,40.96,8.3,338.2,608,1016.7,440.5,70.7,121,669.3,197,54.7,70.5,75,9.5,39.1,70,75.6,22.5,10.67,14.05,20.23,4.04
"Hypdup","Hypogymnia_duplicata",0.04,3.1,6.4,10.35,2.3,11.4,13.97,17.5,1.79,-5.43,0.16,4.42,3.76,10.82,14.08,19.78,3.09,728.12,2825.75,4203.25,990.08,210.75,612,1200,397.81,3.42,5.92,15.15,2.78,10.47,23,85.47,16.34,98.5,161,232,47.73,35,320,997.75,408.95,-34.03,-22.04,-13.65,7.88,28.55,31.3,38.08,3.36,355.75,464.5,780.25,200.15,0,5.5,354.5,69.5,64.75,76,81.25,7.88,54.25,74,80.25,13.25,10.52,13.42,16.09,1.79
"Hypent","Hypogymnia_enteromorpha",0.11,2.41,7.5,12.19,4.38,12.14,15.59,20.4,3.6,-7.4,0.32,7.08,6.73,9.45,15.36,23.09,5.75,619.05,1721.33,3622.88,1261.62,71.49,343,1111.33,310.5,4.5,10.7,28.39,8.45,12.47,46.01,271.03,48.34,82,161.5,257.9,74.31,15.53,194.67,856.25,390.05,-38,-23.55,-10.72,13.36,28.81,33.92,39.99,4.66,354.45,641.5,1037.25,309.51,0,160.25,621.28,299.96,56.05,68.55,80,10.62,39,62.75,78.49,21.27,11.11,14.93,19.7,3.77
"Hypfar","Hypogymnia_farinacea",0,0.95,4.4,8.37,4.6,12.15,15.4,18.06,3.1,-8.75,-4,-0.53,5.05,16.45,19.2,22.45,2.45,503.4,725,886,171.5,252.5,321.4,487,83.5,14.7,23.5,34.56,9.05,31.95,51.1,63.47,18.05,38,79,155,77,36.3,178,420.5,208.5,-44.95,-35.5,-29.31,9.9,30.3,33.2,34.12,1.8,589,792,982.7,182,201,316,490.3,101,45,55,61.5,9.5,20,40,49.5,13.5,10.3,13.83,17.1,3.77
"Hyphet","Hypogymnia_heterophylla",0,8.27,11.2,14.38,2.87,13.85,15.7,18.26,1.22,1.25,7.4,10.78,3.57,5.24,8.57,15.73,3.83,448.4,1343,2305.4,1074.33,22.4,143.67,484.5,207.1,8.1,15.9,53.16,18.47,32.85,111.4,732.15,284.67,162.4,263,342.1,69.33,1,14.83,194.4,29.33,-20.5,-10.25,-5.46,4.12,31.45,34.2,38.1,1.41,638.97,761.33,1099.9,210.75,123.8,313,741,326.55,62.1,70.42,75,5.33,58.1,70.67,78.68,7.96,13.32,15.34,17.85,1.29
"Hypims","Hypogymnia_imshaugii",0.18,2.1,7.2,14.65,6.17,13.35,17.5,23.16,4.24,-7.8,-2.05,8.95,9.24,9.75,19.28,23.11,5.88,354.5,885,2299.65,578.5,27.88,201.33,429.92,168.32,7.55,18.95,55.81,12.93,34.5,89.07,787.3,109.66,66.12,135.55,317.43,89.74,2.25,171.46,629.56,292.25,-40.35,-28.02,-7.92,17.19,31.45,36.8,41.75,4.65,517.5,759.25,1228.75,293.44,99.75,379,867.35,310.86,52,61,72,8.5,28,46,68.38,17,11.98,16.49,22.98,4.71
"Hypina","Hypogymnia_inactiva",0.08,4.07,8.4,14.02,4.15,13.18,16.49,19.89,3.51,-4.37,1.7,8.96,5.25,9,14.65,21.17,3.27,664.1,1782.5,3411.3,1261.6,45.75,310.55,1016.15,322.01,4.75,10.57,30.19,9.55,13.49,56.88,391.61,60.75,113.33,183.5,313.3,67.79,3.37,137.5,610.22,328.82,-31.58,-19.12,-7.86,10.06,29.5,34.9,39.52,5.1,413.4,679.3,1031.13,287.88,0,232.08,633.48,294.62,59.28,69.19,79,10.29,43.1,61.6,77.45,15.52,12.41,15.9,19.1,3.67
"Hypkro","Hypogymnia_krogiae",0.01,2.91,6.08,11.97,2.78,16.85,18.65,21.46,1.55,-13.27,-7.42,1.62,5.47,18.26,26.08,30.84,5.3,1032.1,1219.5,1646,197.25,434.65,498,708.7,111.67,9.74,13.38,18.43,2.43,25.26,37.3,47.38,8.22,108.3,129.25,171.1,22.05,20.7,287,440.85,166.92,-39.3,-34.26,-24.5,6.23,32.36,35.1,37.92,1.86,594.26,684,1068.05,157.15,0,76.71,262.9,79.6,56.65,62,68,5.33,53.91,61.5,67.67,6.25,16.11,18.25,20.93,1.7
"Hypocc","Hypogymnia_occidentalis",0.06,-0.2,6.32,13.81,5.72,11,16.44,20.81,4.15,-11.44,-2.55,9.3,8.88,8.28,18.8,23.64,6.02,451.6,1004.75,2955.9,985.62,42.2,256.5,665.22,188.21,5.17,15.24,37.32,13.48,18.77,61.5,467.91,57.25,61.48,126.17,316.1,68.25,3.08,231.5,858.57,372.5,-43.12,-28.08,-7.4,16.09,27.63,35.13,40.74,5.59,340.08,695.25,1072.8,282.83,0.65,268.5,679.65,291.5,55.83,64,73.09,8.85,34.65,51.67,73.67,20,9.94,15.47,20.09,4.28
"Hypoce","Hypogymnia_oceanica",0.02,3.79,5.9,8.78,1.48,12.74,13.95,16.62,2.1,-7.38,-0.98,2.22,2.6,12.24,15.1,23.34,1.6,879.4,2445,4135.4,1265.5,256,729,1169.2,536,4.18,6.1,14.06,3.8,10.98,17.9,50.74,20.07,111.9,151,178.6,25.95,157.8,385.5,768.8,262,-32.32,-24.6,-19.52,5.25,29.16,30.6,36.07,3.3,400,447,778.8,179,0,0,270.8,122,63,75,79,8,48.57,73,79,14.5,12.1,13.02,16,2.06
"Hypphy","Hypogymnia_physodes",0.27,-8.2,4.7,11.28,6.76,11.28,17,22,4.8,-26.9,-8.7,4.27,11.7,13.4,26.8,40.8,10.64,262.05,824.22,2140.62,650.75,136.17,394.5,623.5,235.15,4.1,15.42,30.85,8.77,24.66,44.51,111.4,24.28,65,121,212.88,45.5,26,172.5,520.5,180,-51.48,-36.8,-15.49,13.5,26.9,34.7,39.4,5.28,219,614,969.75,316.31,0,124,472.07,121,54.22,62,74,7.82,40,62,76,11.07,10.15,16.21,21.87,5.31
"Hyppul","Hypogymnia_pulverata",0,-3.14,2.67,2.94,0.37,11.46,13.6,14.95,0.81,-20.23,-5.4,-4.06,3.82,17.52,19.23,32.22,5.59,469.75,570.75,608.5,77.38,263.25,325.5,351.75,49.25,11.45,22.1,27.05,3.55,33.47,41.75,56.98,10.88,87.5,123.75,124.88,2,131,159,281.25,76.5,-43.9,-34.4,-32.79,4.55,29.29,29.75,30.81,0.66,312.25,403,427.62,47.38,53.25,136,194.5,44.5,65.25,66.25,68.75,1.62,66.25,67.5,72,1.75,10.53,12.78,14.24,0.93
"Hyprug","Hypogymnia_rugosa",0.01,1.1,5.3,10.87,3.03,11.59,15.05,18.55,2.77,-8.63,-3.43,3.83,5.2,13.97,18.1,22.4,4.92,541.7,1382,2711.2,991.29,134.5,281,602.2,185.75,5.6,11.2,27,10.02,19.99,50.6,156.53,30.16,74.2,117,203.9,36.65,45.25,403,972.6,404,-38.64,-29.8,-16.2,8.95,28.88,33.5,38.73,3.65,387.8,591,902.5,194.42,0,190.5,550.5,150.5,57,66,75.15,7.83,31.7,53,70.22,14.83,10.06,14.05,17.89,2.84
"Hyptub","Hypogymnia_tubulosa",0.13,1.7,5.55,11.9,3.89,13.7,17.6,21.5,3.45,-14.2,-5.5,5.25,7.6,12.3,22.6,31.4,8.43,426.5,942.5,2546.8,595,98,387,722,244,6.23,16.3,41.8,9.25,21,44,211.6,38.03,71,126,235,36.33,22,207,563,235,-41.8,-33.06,-14.3,10.7,29.7,35.38,41.2,3.75,412.33,662,1032,197,0,165,619.6,286.5,52,62,77,9,33,58,77,19.71,12.43,17.01,20.83,3.71
"Hypvit","Hypogymnia_vittata",0.02,-3.64,4.7,8.45,3.03,9.97,14.9,18.49,3.97,-21.8,-5.4,0.76,10.86,13.49,20.85,35.13,13.64,398.35,1292.75,3694.25,1192.33,187.7,491.5,1398.1,398.05,3.22,10.7,18.95,6.85,9.53,31.4,74.12,22.42,57.4,125,175.15,37.3,98.3,372.5,1247.95,288.38,-48.08,-31.96,-21.51,12.32,25.58,31.2,36.8,5.33,248.55,473,809.55,212.5,0,32.75,357.2,89.5,58.55,68,78.45,13,43.1,65.75,78.45,13.68,8.44,14.27,18,4.26
"Hypwil","Hypogymnia_wilfiana",0.05,4.13,4.68,8.04,1.75,14.6,16.08,18.47,1.64,-7.05,-5.22,-0.64,2.44,17.04,21.3,23.64,1.09,417.5,846.92,1834.65,356.38,201.2,293.6,396.02,102.25,10.27,19.41,37.35,7.34,39.77,54.71,86.17,21.05,92.87,109.75,149.2,16,53.8,227.75,584.88,132.82,-38.14,-33.3,-24.56,5.74,33.49,35.48,38.25,2.65,572.8,645.4,789.8,113.25,157.07,245.1,398.95,164.79,52.65,61.25,69,3.75,39.38,46.7,56.35,7,13.4,14.87,17.61,2.15
"Imsale","Imshaugia_aleurites",0.03,-4.32,6.5,17.2,7.04,13.66,19.07,25.07,4.26,-22.48,-6.05,9.84,10.5,11.82,25.36,37.2,7.8,329.4,936.75,1548.2,465.62,198,473.48,678.73,150.88,9.71,17.48,36.41,6.82,25.3,41.05,83.32,14.08,82,135,271.4,49,1,142.48,383.27,189.33,-47.24,-32.77,-13.36,11.79,29.62,35.88,40.28,3.27,333.3,709.4,1512.38,354.38,10.23,135,829.55,127.42,53,61,68.95,5.52,48.15,62,70,8,12.69,18.61,25.25,4.73
"Imspla","Imshaugia_placorodia",0.01,3.14,7.4,14.43,6,16.17,20.4,24.82,3.24,-14.52,-4.7,5.4,8.96,16.8,24.7,33.5,7.6,433.1,811,1257.5,416.46,214.27,451.67,545.3,139.5,13.64,19.7,49.63,10,37.34,45.9,100.26,13.79,98.83,141,198.4,51.25,3.7,99,295,128.5,-41.66,-32.83,-20.99,11,33.82,37.23,40.53,2.9,576.4,780,1401.93,367.81,75,171,911.13,263.5,47.8,59,70.9,8.75,33.29,60.25,73.3,11.67,15.2,19.85,25.07,3.52
"Koebif","Koerberia_biformis",0,6.5,13.67,16.91,4.73,15.36,21.8,26.28,5.7,-2,5.85,10.3,6.5,7.5,17.47,20.36,2.7,387,610.36,1438.2,173,25.2,247,422.47,136,14.72,36.5,62.16,11.33,40.02,92.3,706.66,65,117.2,216.89,326.8,78,1,6,108.8,38,-33.6,-18.1,-7.22,11.3,32.9,38.06,41.38,3.9,849.8,1253,1445.2,273.14,343.8,724,890.7,210,47.15,59,66.4,9,26.6,51,66.4,14,14.49,21.34,26.54,6.13
"Leisor","Leioderma_sorediatum",0,8.04,9.85,11.05,2.3,14.56,15.47,17.07,0.78,0.79,4.59,6.99,4.5,8.5,10.35,16.12,4.15,855.67,1757.75,2295.17,471.5,224.77,343.75,691.37,271,8.12,11.95,24.74,5.31,22.62,50.86,69.17,29.45,155.3,230.08,255.85,60.75,18.51,27.42,106.87,33.17,-27.64,-14.32,-10.84,9.28,31.19,34.01,34.73,1.07,478.95,755.92,1042.8,173.25,34.35,242.58,391.17,124.12,56.85,70.42,79.45,7,35.2,70.67,79.5,13.5,14.14,14.92,15.76,0.53
"Lepars","Leptogium_arsenei",0,3.87,11.18,17.3,5.33,14.9,20.8,26.16,3.3,-11.29,1.9,9.42,7.88,11.86,19.5,31.98,5.47,323.3,601.75,839,235.88,110.05,313,523.45,149.5,18.03,35,67.91,18.71,38.45,70.4,190.55,44.87,107.39,159,268.2,64,0,16.25,206.75,70.62,-39.49,-26.75,-12.58,13.18,32.69,37.9,41.88,2.7,628.2,1203.75,1526.35,438.22,108.4,690.8,1031.22,457,44.65,54,64.35,6.56,30.6,50.8,63.05,17.5,13.43,19.88,25.96,3.64
"Lepaus","Leptogium_austroamericanum",0,12.3,17.55,22.66,5.3,21.52,27.1,28.5,2.2,0.41,7.5,16.18,7.43,10.65,19.42,24.8,4.95,801.42,1292,1596.9,261.25,430.13,558.5,860.83,161.75,16.5,20.56,30.19,4,31.99,46.63,61.58,11.41,170.35,232,336.2,92.56,0,1,16.83,7,-27,-18.6,-4.67,9.99,36.5,40.4,42.1,1.93,1105.12,1344.08,1578.43,239.94,82.05,271,541.8,145.88,57,61,71,3,56.68,65,75,4.12,21.12,28.56,31.97,4.45
"Lepbre","Leptogium_brebissonii",0,5.92,10.1,12.81,3.39,13.23,14.6,21.09,1.53,-2.17,4.9,8.17,4.42,8.37,11.2,19.64,4.33,466.8,2233,3760.6,989,74.1,402,1004.9,357.07,4.01,9.4,50.72,5.2,13.71,37.5,409.37,37.33,128.2,229,281.85,74.57,13.2,47,544.3,147.14,-29.2,-13,-9.63,9.06,30.03,32.6,40.05,2.65,423.8,667,1178.7,311.25,0,115,764.4,238.57,55.8,73,80.3,6.5,45.5,75,78.3,6.39,12.64,14.15,20.64,1.51
"Lepbur","Leptogium_burnetiae",0,2,7.6,14.84,9,13,19.8,25.54,7.65,-13.94,-1.9,4.9,11.7,15.48,23.8,33.44,8.7,428,943,1672.6,446.25,125.4,473,609.8,175,10.91,19.6,47.04,5.16,33.42,44.7,155.98,11.05,75.8,139,204.2,61,4.6,92,444.2,170.5,-41.88,-29.57,-18.72,12.4,29.9,37.9,41.46,4.3,470.2,773,1262.6,471.5,62.8,190,721,143,50.6,58,69.8,4.5,32.8,60,68.2,9,11.84,19.4,25.83,8.54
"Lepcel","Scytinium_cellulosum",0,4.33,6.47,10.62,0.92,15.18,17.18,18.49,1.99,-5.31,-3.12,4.74,1.37,13.89,20.5,21.77,2.98,714.7,998.75,2059.25,459,127.59,269,367.45,78.62,8.18,16.98,24.29,7.07,46.24,65.4,132.63,29.08,92.35,122,225,15,26.05,254.75,549.9,162.25,-34.48,-29.35,-14.13,3.41,34.22,37,39.13,2.24,596.1,755.07,849.55,97.25,200.1,331.5,468.06,117,57.43,60.75,68.2,3,35.95,44.25,57.25,8.68,13.75,16.24,17.65,1.93
"Lepcor","Scytinium_palmatum",0,6,10.47,15.73,4.38,13.76,18.1,24.55,4.74,-2.75,4,9.66,5.51,8.7,14.2,21.73,5.66,427,1260,3038.75,1245.08,27.5,204,749,219.92,5.65,17.02,52.95,20.4,18.9,91.15,787.82,202.15,125,207.5,324.25,81,2,36.5,459,103.89,-28.9,-15.77,-6.48,9.45,30.2,37.45,43.8,6.41,446.5,837.5,1311,384.61,0,354.5,947.83,478.75,55.25,66,80,12.28,38.62,58,79.44,20,12.99,17.58,24.31,4.61
"Lepcrt","Leptogium_corticola",0,5.03,13.67,20.63,5.88,16.98,24.4,27.82,5.65,-9.75,2.48,15.73,7.5,9.29,21.25,28.92,4.97,684.33,1227.5,1619.4,253.17,307.5,541.5,795.44,110,12.49,19,29.45,5.38,29.26,43.9,61.41,10.35,125.1,187,339.7,54.24,0,11.75,252.3,61.67,-37.85,-24.3,-7.48,7.55,33.59,38.73,41.5,3.7,611.5,1133.55,1566.3,416.5,34.5,190.67,717.3,152,55.9,62,71.1,5,54.51,63,73.1,6,16.55,24.46,30.22,7.02
"Lepcya","Leptogium_cyanescens",0.02,3.31,12.4,20.49,11.1,16.34,23.3,28,7.57,-13.38,0.4,12.53,14.35,13.44,23.3,31.59,7.6,675,1171,1603.68,418.67,338.35,518.6,789.6,119.25,11.81,19.4,29.65,5.17,30.65,43.45,61.25,10.76,112.05,175.75,308,96,0,21,344.95,168.21,-40.01,-26.84,-10.15,15.04,33.4,38.6,41.8,4.2,580,1076,1519.61,607,28,178,565.4,175.54,55,61.43,70,4.76,53,63.93,73,5.92,15.48,23.3,30.54,9.4
"Lepfur","Leptogium_pseudofurfuraceum",0.01,3.92,12.1,17.71,6.52,14.5,20.4,25.32,4.3,-6.53,3.72,12.7,9.91,5.9,17.75,23.37,5.45,360.1,618.31,1118.9,231.15,30,297,609.8,163.84,16.87,33.6,59.2,16.2,32.34,67.38,694.22,54.4,85.48,177.25,321.15,102.25,0,13,213.08,52.75,-38.38,-24.32,-7.37,16.09,31.55,37.7,42.2,4.18,720.28,1188.42,1640.45,424.32,278.4,691,1126.6,322.75,46.7,54.83,63.15,8.5,27.13,50.62,64.07,16.6,13.26,19.81,25.59,4.64
"Leplac","Leptogium_laceroides",0,3.38,6.3,15.4,7.2,15.58,18.4,22.27,1.9,-11.92,-5.8,12.88,11.93,3.76,23.6,30.16,9.9,511,1154,1822.1,245,268.8,485,852.4,192,10.8,13.5,45.54,2.2,19.08,37.4,86.74,10.9,119,130,315.2,42,2,281,386.4,310.75,-38,-31.8,-10.32,10.3,29,35,38.06,3.9,505.2,700,1539.6,474.25,0,97.25,829.9,115,50.4,61,74,6,51.2,61,74.4,6,14.96,17.91,21.92,1.99
"Leplic","Scytinium_lichenoides",0.01,2.15,6.9,12.8,4.12,13.8,18.7,23.75,3.18,-13.1,-3.7,4.6,4.5,17.1,22.4,30.92,3.17,344,687,1291.67,443.25,105.5,270,512.5,162,11.4,23,47.65,17.22,34.95,71.7,185.5,45.8,62,127,205,48.25,12.5,118,448.5,224.5,-39.6,-34.2,-19,8.45,32.9,36.6,40.35,4,545.5,845,1293,234,36.17,401,695.5,379,49,57,68.5,7,27.5,46,69.5,22.5,12.25,17.93,23.62,3.54
"Lepmil","Leptogium_milligranum",0,5.1,14.55,21.22,5.72,18.9,25.47,28.9,4.6,-10.13,4.09,14.62,8.49,11.18,20.45,29.75,7.42,456.8,1136.5,1538,465,174.4,503.5,770.2,132,13.55,21.05,58.47,10.95,33.78,47.7,156.76,16.31,123.95,199.25,322.5,83.52,0,6,299.4,14,-36.53,-22.85,-5.66,11.68,35.69,40.7,44.2,3.18,673.3,1224,1703.97,338.62,97.17,275,1163.12,559,49,60,66.02,5,46.43,63,69,7,18.46,25.66,31.28,6.35
"Leppol","Scytinium_polycarpum",0.01,5.16,9.9,12.06,4.1,13.13,17.5,21.74,3.73,-2.79,3.6,5,4.52,11.67,14.9,19.56,1.96,803.5,2014,3152.35,1238.5,122.9,303,698.6,280.42,5.46,10,23.9,10.12,21.13,53.7,162.54,71.17,123.75,198.5,226.7,63.19,22,64,422.8,287.5,-28.36,-16.9,-12.75,8.17,29.8,37.07,40.2,5.39,414.8,790,1140.6,270.25,4.4,274,584.9,354.08,59.2,66.33,78.4,6.42,42.7,55,77.7,8.08,12.52,16.79,21.03,3.84
"Lepsat","Leptogium_saturninum",0.01,-9.4,3.1,12.19,7.4,10.1,16,22.05,5.67,-26.4,-9.9,4.3,11.49,15.01,25.55,38.89,10.55,242.55,703.75,1767.8,452.88,115,330.12,586.7,223,1.8,16.4,37.68,10.85,21.81,45.2,113.72,29.92,59,105,197.95,42.89,15.15,188,660.63,201.62,-53.2,-39.57,-18.53,12.73,25.3,33.6,39.59,7.3,186.3,591.75,1171.55,360,0.59,136,653.6,194.5,49,60.9,73,9.81,27.05,60,76.95,17.93,8.58,14.97,21.7,6.08
"Lepter","Scytinium_teretiusculum",0,3.08,4.8,6.87,1.88,15.55,18.9,19.46,1.08,-12.67,-10.2,-5.54,4.62,22.36,29.35,30.45,4.77,855.15,1102,1255.45,108.5,369.8,467.25,491.85,30.75,12.16,13.4,16.59,0.72,36.37,40.45,43.94,3.64,79.4,121,136.65,11.5,260.4,321,414.7,95.62,-41.48,-37.08,-31.17,3.55,33.63,35.31,36.47,1.1,589.01,670.5,728.6,52,40.02,98.5,245.4,33.5,49.55,62.5,65.65,6.25,39.55,62.5,65.62,3,14.19,18.45,19.14,1.13
"Letcol","Letharia_columbiana",0.1,0.8,7.12,16.26,5.87,12.2,18.06,23.93,5.3,-8.97,-2.36,9.74,7.94,12.87,19.5,23.61,4.7,271.25,696,1912,551,23.28,155.5,398.35,178.73,7.8,22.67,82.78,24.66,32.47,114.37,1007.97,181,58.55,124.5,298.3,78.59,1,152,762.64,337.38,-41.03,-29.38,-9.09,13.26,30.97,37.18,43.91,4.73,478.12,802.83,1390.1,351.04,122.58,469.67,1059.35,362,50,58.15,69.07,7.12,25.94,41.17,60.15,16.33,10.85,16.99,23.78,6
"Letvul","Letharia_vulpina",0.21,0.5,6.15,14.6,5.54,12.16,17.19,22.64,4.9,-9.69,-3.1,8.16,7.29,12.39,20.8,24.31,4.75,311.4,747.25,1856.3,522.6,37.55,207.46,472.17,183.18,7.97,20.9,63.2,17.43,27.23,85.01,680.01,117.89,55,119.75,262.92,71.32,4.93,179.25,683.08,321.6,-43.8,-30.8,-11,13.04,30.15,36.35,42.76,5.19,474.35,737.5,1252.17,307.12,52.31,386.5,852.74,346.11,49.28,59,70,7.5,25.32,43.25,66,15.84,10.37,16.13,22.21,5.45
"Lobamp","Lobaria_amplissima",0,4.51,6.72,13.25,1.33,12.5,14.3,25.38,5.75,-11.75,0.9,2.71,7.27,11.71,14.12,30.71,13.41,760.75,2159.5,3497.15,1412.88,415.2,728.25,1027.76,302.5,4.24,7.5,21.55,7.79,12.9,23.45,51.35,22.7,121.35,173.5,202.15,42.75,14.23,225,393.55,165.38,-38.32,-23.15,-18.16,11.75,28.8,31.05,39.04,6.12,370.15,450,1119.07,282.5,0,0,181.35,84,58.35,73,81.32,15.25,59.35,74,81.97,14.62,11.9,13.85,25.78,5.96
"Lobhal","Lobaria_hallii",0.01,-1.68,5,11.72,5,11,15.5,19.66,4.7,-15.66,-4.03,4.74,6.55,13.56,19.5,28.78,5.7,417.8,1121,3038.13,1251,125,315,1002,223,4.68,13.33,28.27,12.95,12.7,51.7,150.92,40.78,73.4,122.33,221.2,38.75,35,258,1179,349,-46.84,-31.1,-14.27,13.3,26.82,33.6,39.81,7.8,305.4,606,972.2,343,0,186,527.03,258,58.9,66,75,8,38.8,59,75,20.25,9.74,14.59,19.05,4.86
"Loblin","Lobaria_linita",0.03,-11,-1.1,7.4,11.02,8.6,12.65,15.83,3.01,-28.51,-11.85,1.63,20.37,12.15,22.95,40.3,17.9,196.5,833.4,3910.19,1887.8,108,382,1275.5,403.48,-4.8,6.6,20.5,5.88,10.07,33.56,90.45,29.48,54.5,103,181.88,63.25,101,297.25,988.88,380.29,-55.55,-43,-19.24,23.09,23.85,28.15,33.67,3.72,148,322.47,633.11,189.88,0,46.85,178.35,85,58,70.45,81,9.04,55.94,72.53,83,14,7.42,11.66,15.11,3.42
"Lobore","Lobaria_oregana",0.04,-4.37,7.14,11.56,3.95,10.48,14.9,19,2.92,-20.58,0.15,6.05,5.91,10.29,14.9,35.57,3.75,327.7,2164.75,4121.33,1268.73,157.4,418.67,1351.85,475.67,3.49,8.1,21.26,5.38,9.29,34.9,101.04,42.75,74,160.33,240.1,66.12,23.9,240,1032.9,392.59,-50.82,-22.59,-12.37,12.23,26.7,32.56,39.12,4.72,293.57,541,940.3,290.08,0,76.2,447.95,244.25,59,71.64,80.05,10.17,47.1,67.5,79.03,16,9.46,14.17,18.32,2.67
